"timeMillisSpent","score"
1565,"-248hard/-18289soft"
1855,"-210hard/-21893soft"
2152,"-177hard/-25952soft"
2433,"-158hard/-26199soft"
2698,"-138hard/-29642soft"
2970,"-123hard/-32846soft"
3327,"-112hard/-32937soft"
3697,"-102hard/-36356soft"
4025,"-88hard/-36299soft"
4366,"-78hard/-36336soft"
4726,"-69hard/-36400soft"
5049,"-59hard/-36459soft"
5305,"-52hard/-36478soft"
5519,"-49hard/-36391soft"
5715,"-45hard/-36390soft"
5897,"-41hard/-36373soft"
6044,"-39hard/-36317soft"
6182,"-34hard/-40170soft"
6310,"-28hard/-40275soft"
6442,"-26hard/-39861soft"
6572,"-24hard/-39585soft"
6733,"-23hard/-39589soft"
6883,"-22hard/-39555soft"
7048,"-16hard/-39636soft"
7203,"-14hard/-39565soft"
7361,"-12hard/-39577soft"
7522,"-10hard/-39597soft"
7658,"-10hard/-39173soft"
7784,"-10hard/-39106soft"
7904,"-9hard/-39051soft"
8024,"-9hard/-38531soft"
8132,"-8hard/-38448soft"
8249,"-8hard/-38364soft"
8358,"-8hard/-38133soft"
8490,"-8hard/-37874soft"
8599,"-6hard/-37896soft"
8708,"-6hard/-37860soft"
8814,"-4hard/-37836soft"
8928,"-4hard/-37802soft"
9035,"-2hard/-37816soft"
9142,"-2hard/-37802soft"
9256,"-2hard/-37786soft"
9371,"-2hard/-37728soft"
9482,"-2hard/-37658soft"
9600,"-2hard/-37590soft"
9714,"-2hard/-37566soft"
9824,"-2hard/-37506soft"
9936,"-2hard/-37468soft"
10000,"-2hard/-37460soft"
