"timeMillisSpent","score"
34,"-19hard/-11491soft"
62,"-18hard/-11474soft"
89,"-17hard/-11427soft"
115,"-15hard/-11609soft"
142,"-14hard/-11558soft"
172,"-13hard/-11533soft"
204,"-12hard/-11524soft"
236,"-11hard/-11513soft"
270,"-10hard/-11499soft"
303,"-9hard/-11509soft"
337,"-9hard/-11477soft"
384,"-8hard/-11458soft"
438,"-8hard/-11438soft"
475,"-8hard/-11303soft"
514,"-8hard/-11273soft"
552,"-8hard/-11076soft"
592,"-7hard/-10909soft"
624,"-7hard/-10893soft"
657,"-7hard/-10874soft"
688,"-7hard/-10859soft"
719,"-6hard/-11113soft"
753,"-6hard/-11080soft"
791,"-6hard/-11044soft"
830,"-6hard/-10990soft"
865,"-6hard/-10964soft"
895,"-4hard/-10911soft"
936,"-4hard/-10893soft"
980,"-4hard/-10869soft"
1024,"-3hard/-10865soft"
1069,"-3hard/-10715soft"
1109,"-2hard/-10711soft"
1140,"-2hard/-10704soft"
1169,"-2hard/-10697soft"
1200,"-2hard/-10693soft"
1234,"-2hard/-10681soft"
1269,"-2hard/-10678soft"
1305,"-2hard/-10672soft"
1377,"-2hard/-10644soft"
1412,"-2hard/-10636soft"
1445,"-2hard/-10627soft"
1475,"-2hard/-10624soft"
1540,"-2hard/-10620soft"
1572,"0hard/-10648soft"
1604,"0hard/-10642soft"
1636,"0hard/-10624soft"
1700,"0hard/-10623soft"
1770,"0hard/-10613soft"
1872,"0hard/-10589soft"
1907,"0hard/-10582soft"
1942,"0hard/-10581soft"
1976,"0hard/-10563soft"
2009,"0hard/-10561soft"
2044,"0hard/-10559soft"
2076,"0hard/-10555soft"
2134,"0hard/-10546soft"
2162,"0hard/-10543soft"
2190,"0hard/-10536soft"
2217,"0hard/-10535soft"
2247,"0hard/-10462soft"
2279,"0hard/-10455soft"
2313,"0hard/-10452soft"
2344,"0hard/-10449soft"
2376,"0hard/-10442soft"
2408,"0hard/-10440soft"
2443,"0hard/-10405soft"
2475,"0hard/-10403soft"
2509,"0hard/-10398soft"
2544,"0hard/-10394soft"
2580,"0hard/-10389soft"
2617,"0hard/-10384soft"
2688,"0hard/-10380soft"
2754,"0hard/-10378soft"
2792,"0hard/-10376soft"
2941,"0hard/-10372soft"
2973,"0hard/-10371soft"
3258,"0hard/-10352soft"
3309,"0hard/-10350soft"
4471,"0hard/-10347soft"
4502,"0hard/-10340soft"
4531,"0hard/-10337soft"
4693,"0hard/-10336soft"
4918,"0hard/-10335soft"
6527,"0hard/-10334soft"
6993,"0hard/-10333soft"
7873,"0hard/-10293soft"
8311,"0hard/-10289soft"
8379,"0hard/-10288soft"
