"timeMillisSpent","score"
364,"-105hard/-12911soft"
532,"-65hard/-16001soft"
697,"-46hard/-16031soft"
890,"-37hard/-16133soft"
1109,"-34hard/-16097soft"
1333,"-32hard/-16054soft"
1572,"-30hard/-16046soft"
1828,"-28hard/-19522soft"
2177,"-19hard/-19558soft"
2513,"-16hard/-19588soft"
2896,"-13hard/-19599soft"
3272,"-12hard/-19384soft"
3441,"-11hard/-19332soft"
3577,"-10hard/-19317soft"
3774,"-9hard/-19303soft"
3986,"-9hard/-19282soft"
4177,"-8hard/-19281soft"
4373,"-7hard/-19290soft"
4534,"-7hard/-19268soft"
4689,"-7hard/-19253soft"
4863,"-7hard/-19098soft"
5013,"-7hard/-19078soft"
5327,"-6hard/-19114soft"
5456,"-6hard/-19101soft"
5595,"-6hard/-19082soft"
5724,"-6hard/-19055soft"
5852,"-6hard/-19038soft"
5975,"-6hard/-19024soft"
6100,"-6hard/-18905soft"
6216,"-6hard/-18872soft"
6329,"-6hard/-18824soft"
6445,"-6hard/-18819soft"
6561,"-6hard/-18808soft"
6672,"-6hard/-18680soft"
6782,"-6hard/-18665soft"
6901,"-6hard/-18657soft"
7016,"-6hard/-18488soft"
7129,"-6hard/-18473soft"
7239,"-6hard/-18459soft"
7351,"-6hard/-18450soft"
7460,"-6hard/-18438soft"
7571,"-6hard/-18424soft"
7687,"-6hard/-18408soft"
7795,"-4hard/-18436soft"
7900,"-4hard/-18431soft"
8011,"-4hard/-18417soft"
8118,"-4hard/-18376soft"
8224,"-4hard/-18371soft"
8335,"-4hard/-18339soft"
8444,"-4hard/-18325soft"
8551,"-4hard/-18318soft"
8656,"-4hard/-18313soft"
8763,"-4hard/-18275soft"
8876,"-4hard/-18264soft"
8991,"-4hard/-18212soft"
9107,"-4hard/-18171soft"
9224,"-4hard/-18158soft"
9356,"-2hard/-18187soft"
9485,"-2hard/-18181soft"
9608,"-2hard/-18150soft"
9725,"-2hard/-18147soft"
9837,"-2hard/-18136soft"
9951,"-2hard/-18130soft"
