"timeMillisSpent","score"
110,"-39hard/-23042soft"
167,"-36hard/-23055soft"
224,"-34hard/-23023soft"
283,"-32hard/-22971soft"
353,"-31hard/-22914soft"
425,"-29hard/-22952soft"
495,"-28hard/-22895soft"
568,"-27hard/-22877soft"
635,"-26hard/-22833soft"
703,"-25hard/-22787soft"
780,"-23hard/-22765soft"
851,"-20hard/-22750soft"
925,"-19hard/-22752soft"
999,"-18hard/-22719soft"
1074,"-18hard/-22694soft"
1151,"-17hard/-22689soft"
1225,"-17hard/-22636soft"
1303,"-17hard/-22560soft"
1374,"-16hard/-22577soft"
1448,"-16hard/-22542soft"
1528,"-15hard/-22527soft"
1604,"-14hard/-22500soft"
1686,"-13hard/-22488soft"
1762,"-12hard/-22461soft"
1838,"-10hard/-22439soft"
1916,"-10hard/-22425soft"
1995,"-10hard/-22391soft"
2075,"-10hard/-22382soft"
2155,"-10hard/-22362soft"
2232,"-9hard/-22593soft"
2305,"-9hard/-22477soft"
2378,"-9hard/-22414soft"
2449,"-9hard/-22193soft"
2519,"-9hard/-22143soft"
2591,"-9hard/-22113soft"
2662,"-9hard/-22041soft"
2731,"-9hard/-22024soft"
2799,"-9hard/-21990soft"
2869,"-9hard/-21758soft"
2936,"-9hard/-21697soft"
3004,"-9hard/-21674soft"
3083,"-9hard/-21651soft"
3165,"-9hard/-21622soft"
3242,"-7hard/-21602soft"
3320,"-7hard/-21587soft"
3400,"-7hard/-21569soft"
3480,"-7hard/-21535soft"
3560,"-6hard/-21529soft"
3635,"-6hard/-21457soft"
3709,"-5hard/-21453soft"
3786,"-5hard/-21443soft"
3862,"-4hard/-21608soft"
3938,"-4hard/-21607soft"
4022,"-4hard/-21593soft"
4100,"-2hard/-21957soft"
4190,"-2hard/-21945soft"
4278,"-2hard/-21899soft"
4365,"-2hard/-21860soft"
4449,"-2hard/-21847soft"
4539,"-2hard/-21836soft"
4633,"-2hard/-21729soft"
4726,"-2hard/-21711soft"
4813,"-2hard/-21700soft"
4902,"-2hard/-21672soft"
4996,"-2hard/-21665soft"
5075,"-2hard/-21636soft"
5154,"-2hard/-21633soft"
5228,"-2hard/-21620soft"
5301,"-2hard/-21474soft"
5371,"-2hard/-21457soft"
5439,"-2hard/-21448soft"
5507,"-2hard/-21441soft"
5575,"-2hard/-21432soft"
5640,"-2hard/-21423soft"
5710,"-1hard/-21423soft"
5778,"0hard/-21423soft"
5848,"0hard/-21417soft"
5916,"0hard/-21404soft"
5989,"0hard/-21374soft"
6065,"0hard/-21363soft"
6140,"0hard/-21360soft"
6219,"0hard/-21353soft"
6292,"0hard/-21348soft"
6366,"0hard/-21342soft"
6441,"0hard/-21332soft"
6516,"0hard/-21330soft"
6592,"0hard/-21327soft"
6670,"0hard/-21296soft"
6749,"0hard/-21293soft"
6829,"0hard/-21282soft"
6904,"0hard/-21280soft"
6977,"0hard/-21260soft"
7055,"0hard/-21256soft"
7129,"0hard/-21254soft"
7211,"0hard/-21248soft"
7296,"0hard/-21239soft"
7374,"0hard/-21228soft"
7451,"0hard/-21134soft"
7526,"0hard/-21125soft"
7603,"0hard/-21120soft"
7680,"0hard/-21111soft"
7757,"0hard/-21109soft"
7828,"0hard/-21105soft"
7903,"0hard/-21091soft"
7979,"0hard/-21074soft"
8049,"0hard/-20989soft"
8124,"0hard/-20983soft"
8198,"0hard/-20980soft"
8348,"0hard/-20976soft"
8425,"0hard/-20970soft"
8498,"0hard/-20969soft"
8570,"0hard/-20964soft"
8644,"0hard/-20958soft"
8722,"0hard/-20957soft"
8798,"0hard/-20951soft"
8875,"0hard/-20947soft"
8950,"0hard/-20945soft"
9026,"0hard/-20944soft"
9108,"0hard/-20939soft"
9192,"0hard/-20934soft"
9277,"0hard/-20931soft"
9448,"0hard/-20926soft"
9705,"0hard/-20920soft"
9790,"0hard/-20903soft"
9869,"0hard/-20902soft"
9951,"0hard/-20899soft"
