"timeMillisSpent","score"
70,"-55hard/-8226soft"
149,"-27hard/-8361soft"
309,"-19hard/-12105soft"
450,"-7hard/-12095soft"
609,"-4hard/-12073soft"
809,"-4hard/-11435soft"
999,"-3hard/-11939soft"
1244,"-2hard/-11916soft"
1488,"-2hard/-11197soft"
1735,"-2hard/-10902soft"
1986,"-2hard/-10843soft"
2242,"-2hard/-10798soft"
2421,"-2hard/-10770soft"
2537,"-2hard/-10753soft"
2652,"-2hard/-10736soft"
2773,"-2hard/-10704soft"
2894,"-2hard/-10691soft"
3027,"-2hard/-10670soft"
3159,"-2hard/-10588soft"
3264,"-2hard/-10583soft"
3373,"-2hard/-10549soft"
3488,"-2hard/-10529soft"
3608,"-2hard/-10521soft"
3726,"-2hard/-10509soft"
3849,"-2hard/-10482soft"
4107,"-2hard/-10458soft"
4364,"-2hard/-10431soft"
4630,"-2hard/-10424soft"
4913,"-2hard/-10417soft"
5137,"-2hard/-10414soft"
5394,"-2hard/-10411soft"
5634,"-2hard/-10401soft"
5864,"-2hard/-10397soft"
6060,"-2hard/-10395soft"
6233,"-2hard/-10392soft"
6356,"-2hard/-10390soft"
6477,"-2hard/-10379soft"
6582,"-2hard/-10378soft"
6692,"-2hard/-10377soft"
6811,"-2hard/-10374soft"
7114,"-2hard/-10372soft"
8440,"-2hard/-10371soft"
8536,"-2hard/-10367soft"
8856,"-2hard/-10354soft"
9048,"-2hard/-10353soft"
