"timeMillisSpent","score"
69,"-55hard/-8226soft"
108,"-27hard/-8361soft"
195,"-20hard/-11498soft"
312,"-9hard/-11525soft"
443,"-7hard/-11274soft"
599,"-5hard/-11212soft"
752,"-4hard/-11201soft"
798,"-2hard/-11173soft"
838,"-2hard/-11038soft"
875,"-2hard/-11023soft"
912,"-2hard/-11012soft"
950,"-2hard/-10985soft"
986,"-2hard/-10950soft"
1026,"-2hard/-10865soft"
1063,"-2hard/-10829soft"
1097,"-2hard/-10782soft"
1136,"-2hard/-10693soft"
1175,"-2hard/-10675soft"
1212,"-2hard/-10673soft"
1247,"-2hard/-10655soft"
1286,"-2hard/-10641soft"
1327,"-2hard/-10639soft"
1366,"-2hard/-10636soft"
1403,"-2hard/-10616soft"
1440,"-2hard/-10600soft"
1483,"-2hard/-10586soft"
1523,"-2hard/-10579soft"
1636,"-2hard/-10564soft"
1666,"-2hard/-10550soft"
1703,"-2hard/-10541soft"
1737,"-2hard/-10537soft"
1774,"-2hard/-10535soft"
1814,"-2hard/-10531soft"
1855,"-2hard/-10524soft"
1896,"-2hard/-10506soft"
1938,"-2hard/-10500soft"
1983,"-2hard/-10495soft"
2026,"-2hard/-10494soft"
2072,"-2hard/-10492soft"
2117,"-2hard/-10491soft"
2156,"-2hard/-10481soft"
2201,"-2hard/-10459soft"
2268,"-2hard/-10452soft"
2330,"-2hard/-10445soft"
2407,"-2hard/-10442soft"
2476,"-2hard/-10441soft"
2542,"-2hard/-10432soft"
2581,"-2hard/-10429soft"
2620,"-2hard/-10428soft"
2660,"-2hard/-10427soft"
2706,"-2hard/-10422soft"
2833,"-2hard/-10421soft"
3370,"-2hard/-10416soft"
3412,"-2hard/-10415soft"
3498,"-2hard/-10408soft"
3567,"-2hard/-10407soft"
3689,"-2hard/-10406soft"
3778,"-2hard/-10403soft"
4154,"-2hard/-10399soft"
4191,"-2hard/-10396soft"
4231,"-2hard/-10394soft"
4367,"-2hard/-10393soft"
4411,"-2hard/-10389soft"
4450,"-2hard/-10387soft"
4597,"-2hard/-10386soft"
6565,"-2hard/-10384soft"
6603,"-2hard/-10383soft"
7113,"-2hard/-10381soft"
7561,"-2hard/-10380soft"
