"timeMillisSpent","score"
70,"-47hard/-7946soft"
109,"-23hard/-8068soft"
176,"-20hard/-7920soft"
251,"-18hard/-8015soft"
335,"-16hard/-11896soft"
416,"-9hard/-11173soft"
526,"-6hard/-11956soft"
575,"-5hard/-11923soft"
628,"-4hard/-11329soft"
678,"-4hard/-11299soft"
732,"-2hard/-11284soft"
790,"-2hard/-11269soft"
850,"-2hard/-11222soft"
904,"-2hard/-11018soft"
938,"-2hard/-10999soft"
973,"-2hard/-10980soft"
1012,"-2hard/-10964soft"
1055,"-2hard/-10941soft"
1099,"-2hard/-10814soft"
1140,"-2hard/-10703soft"
1183,"-2hard/-10696soft"
1226,"-2hard/-10676soft"
1274,"-2hard/-10656soft"
1321,"-2hard/-10641soft"
1370,"-2hard/-10635soft"
1416,"-2hard/-10612soft"
1469,"-2hard/-10598soft"
1521,"-2hard/-10585soft"
1571,"-2hard/-10577soft"
1619,"-2hard/-10555soft"
1672,"-2hard/-10554soft"
1713,"-2hard/-10549soft"
1758,"-2hard/-10546soft"
1795,"-2hard/-10529soft"
1837,"-2hard/-10499soft"
1880,"-2hard/-10494soft"
1969,"-2hard/-10486soft"
2008,"-2hard/-10473soft"
2050,"-2hard/-10467soft"
2086,"-2hard/-10464soft"
2121,"-2hard/-10454soft"
2194,"-2hard/-10450soft"
2236,"-2hard/-10445soft"
3010,"-2hard/-10444soft"
3052,"-2hard/-10414soft"
3095,"-2hard/-10410soft"
3300,"-2hard/-10403soft"
3425,"-2hard/-10396soft"
3468,"-2hard/-10394soft"
3510,"-2hard/-10389soft"
3631,"-2hard/-10386soft"
3667,"-2hard/-10380soft"
3710,"-2hard/-10379soft"
3749,"-2hard/-10374soft"
3826,"-2hard/-10369soft"
3866,"-2hard/-10367soft"
4029,"-2hard/-10358soft"
4071,"-2hard/-10357soft"
4113,"-2hard/-10353soft"
4348,"-2hard/-10350soft"
4459,"-2hard/-10348soft"
4785,"-2hard/-10347soft"
4862,"-2hard/-10344soft"
4903,"-2hard/-10339soft"
5145,"-2hard/-10330soft"
5190,"-2hard/-10316soft"
5234,"-2hard/-10313soft"
5367,"-2hard/-10310soft"
5451,"-2hard/-10306soft"
